id,tag
250,"NNP"
251,"NNP"
252,"NNP"
253,","
254,"JJ"
255,"JJ"
256,"NN"
257,","
258,"VBG"
259,"DT"
260,"NN"
261,"NN"
262,"IN"
263,"NNP"
264,"NNS"
265,"."
266,"``"
267,"DT"
268,"IN"
269,"PRP"
270,"VBP"
271,"IN"
272,"DT"
273,"JJ"
274,"NN"
275,"IN"
276,"$"
277,"CD"
278,"IN"
279,"DT"
280,"NN"
281,"VBD"
282,"VBN"
283,":"
284,"CC"
285,"DT"
286,"POS"
287,"JJ"
288,"NN"
289,"IN"
290,"NNS"
291,"IN"
292,"NNP"
293,"NNP"
294,"NNP"
295,","
296,"''"
297,"NNP"
298,"NNP"
299,"VBD"
300,"."
301,"RB"
302,","
303,"NNP"
304,"NNP"
305,"VBZ"
306,"RB"
307,"VBD"
308,"DT"
309,"JJ"
310,"NN"
311,"IN"
312,"PRP$"
313,"PRP$"
314,"JJ"
315,"NNS"
316,"IN"
317,"."
318,"NN"
319,"RB"
320,"JJ"
321,"NNS"
322,"IN"
323,"DT"
324,"NNS"
325,"NNP"
326,"NNP"
327,"VBD"
328,"VBD"
329,"$"
330,"CD"
331,"CD"
332,"CC"
333,"JJR"
334,"IN"
335,"NNS"
336,"IN"
337,"DT"
338,"JJ"
339,"NNS"
340,"VBD"
341,"IN"
342,"NNP"
343,"."
344,"NNS"
345,"TO"
346,"DT"
347,"NN"
348,"NN"
349,","
350,"NNP"
351,"NNP"
352,"NNP"
353,","
354,"NNP"
355,","
356,"NNP"
357,"NNP"
358,"POS"
359,"NN"
360,","
361,"VBN"
362,"$"
363,"CD"
364,"CD"
365,":"
366,"DT"
367,"JJ"
368,"NN"
369,"NN"
370,","
371,"NNP"
372,"NNP"
373,"NNP"
374,","
375,"NNP"
376,","
377,"VBD"
378,"NNP"
379,"$"
380,"CD"
381,"CD"
382,":"
383,"CC"
384,"CD"
385,"NN"
386,"NN"
387,"NNS"
388,","
389,"WRB"
390,"NNP"
391,"NNS"
392,","
393,"NNP"
394,","
395,"CC"
396,"NNP"
397,"NNP"
398,"NNP"
399,","
400,"NNP"
401,","
402,"VBN"
403,"IN"
404,"$"
405,"CD"
406,"CD"
407,"NN"
408,"."
409,"NNP"
410,"NNP"
411,"VBD"
412,"DT"
413,"NN"
414,"VBZ"
415,"DT"
416,"``"
417,"RB"
418,"JJ"
419,"NN"
420,"''"
421,"IN"
422,"JJ"
423,"NN"
424,","
425,"NNS"
426,"IN"
427,"DT"
428,"NN"
429,"POS"
430,"NNS"
431,"."
432,"``"
433,"RB"
434,"IN"
435,"DT"
436,"JJ"
437,"NN"
438,"IN"
439,"DT"
440,"NN"
441,"VBZ"
442,"RB"
443,","
444,"''"
445,"JJ"
446,"IN"
447,"NNP"
448,","
449,"``"
450,"VBZ"
451,"RB"
452,"IN"
453,"DT"
454,"NN"
455,"NN"
456,"MD"
457,"VB"
458,"VBN"
459,"VB"
460,","
461,"''"
462,"PRP"
463,"VBD"
464,"."
465,"O"
466,"NNP"
467,"NNP"
468,"NNP"
469,"NNP"
470,"VBD"
471,"NNP"
472,"NNP"
473,","
474,"NN"
475,"NN"
476,"NN"
477,"RB"
478,","
479,"VBZ"
480,"VBN"
481,"IN"
482,"DT"
483,"NN"
484,"IN"
485,"DT"
486,"JJ"
487,"NN"
488,"NN"
489,"IN"
490,"NNP"
491,"NNP"
492,"NNP"
493,","
494,"WP"
495,"VBZ"
496,"VBN"
497,"."
498,"NNP"
499,"NNP"
500,"MD"
501,"VB"
502,"DT"
503,"NN"
504,"IN"
505,"DT"
506,"NN"
507,"NNP"
508,"POS"
509,"NN"
510,"."
511,"NNP"
512,"NNP"
513,"VBZ"
514,"NNS"
515,"VBN"
516,"IN"
517,"JJ"
518,"NNP"
519,"NNP"
520,"POS"
521,"NN"
522,"IN"
523,"PRP$"
524,"NNS"
525,"JJ"
526,"NN"
527,","
528,"NN"
529,"NN"
530,"CC"
531,"NN"
532,"NNS"
533,"IN"
534,"DT"
535,"JJ"
536,"NN"
537,"."
538,"JJ"
539,"NN"
540,","
541,"NNP"
542,"VB"
543,"RB"
544,"IN"
545,"PRP$"
546,"NNS"
547,"NNP"
548,"NNS"
549,"NNS"
550,"."
551,"NNP"
552,"NNP"
553,"VBD"
554,"PRP$"
555,"NN"
556,"TO"
557,"DT"
558,"NN"
559,"VBZ"
560,"PRP"
561,"MD"
562,"VB"
563,"DT"
564,"JJ"
565,"JJ"
566,"NN"
567,"IN"
568,"DT"
569,"JJ"
570,"NN"
571,"IN"
572,"DT"
573,"NN"
574,","
575,"CC"
576,"PRP"
577,"VBD"
578,"IN"
579,"DT"
580,"NN"
581,"NN"
582,"POS"
583,"NNS"
584,"RB"
585,"VBN"
586,"NN"
587,"."
588,"NNP"
589,"NNP"
590,"NNP"
591,"NNS"
592,"VBD"
593,"IN"
594,"NN"
595,"NN"
596,"NN"
597,"IN"
598,"NNP"
599,"CD"
600,","
601,"DT"
602,"JJ"
603,"NNS"
604,"IN"
605,"DT"
606,"NN"
607,"IN"
608,"NN"
609,"NN"
610,"NNS"
611,"NNS"
612,"NNS"
613,"CC"
614,"JJ"
615,"JJ"
616,"NNS"
617,"IN"
618,"IN"
619,"DT"
620,"NNP"
621,"NNP"
622,"POS"
623,"NN"
624,"IN"
625,"NNP"
626,"NNP"
627,"POS"
628,"NN"
629,"NN"
630,"IN"
631,"NNP"
632,"POS"
633,"NNP"
634,"IN"
635,"NN"
636,"."
637,"NNP"
638,"NNP"
639,"VBD"
640,"VBD"
641,"VBN"
642,"IN"
643,"DT"
644,"NN"
645,","
646,"WDT"
647,"VBD"
648,"VBN"
649,"IN"
650,"NN"
651,"IN"
652,"NNP"
653,"NNP"
654,"NNP"
655,"NNP"
656,"TO"
657,"VB"
658,"DT"
659,"NN"
660,"POS"
661,"NN"
662,"."
663,"NNP"
664,"NNP"
665,"VBD"
666,"NNP"
667,"NNP"
668,","
669,"RB"
670,"VBG"
671,"JJ"
672,"NN"
673,"NN"
674,","
675,"MD"
676,"VB"
677,"DT"
678,"JJ"
679,"NN"
680,"NN"
681,"."
682,"DT"
683,"NN"
684,"NN"
685,"VBZ"
686,"NNS"
687,"IN"
688,"NNP"
689,"NNP"
690,"NNP"
691,"NNP"
692,"VBZ"
693,"RB"
694,"RB"
695,"RB"
696,"IN"
697,"JJ"
698,"NN"
699,"."
700,"NN"
701,"NNS"
702,"MD"
703,"VB"
704,"VBN"
705,"IN"
706,"IN"
707,"NNP"
708,"NNP"
709,","
710,"WP"
711,"VBZ"
712,"VBN"
713,"VBN"
714,"JJ"
715,"NN"
716,"."
717,"NNP"
718,"IN"
719,"NNP"
720,"NNP"
721,"POS"
722,"NNP"
723,"VBZ"
724,"CD"
725,"NN"
726,"IN"
727,"NNP"
728,"VBD"
729,"IN"
730,"JJ"
731,"NNS"
732,"PRP"
733,"IN"
734,"NN"
735,"IN"
736,"NNP"
737,"POS"
738,"NN"
739,"VBD"
740,"TO"
741,"VB"
742,"DT"
743,"JJ"
744,"JJ"
745,"NN"
746,"."
747,"NNP"
748,"NNP"
749,"VBD"
750,"DT"
751,"NNS"
752,"NNS"
753,"CC"
754,"NNS"
755,"VBD"
756,"VBD"
757,"TO"
758,"VB"
759,"DT"
760,"NN"
761,"VBD"
762,","
763,"CC"
764,"NNP"
765,"NNP"
766,"VBD"
767,"NNP"
768,"PRP"
769,"TO"
770,"VB"
771,"IN"
772,"DT"
773,"NN"
774,"VBD"
775,"IN"
776,"DT"
777,"JJ"
778,"NN"
779,"."
780,"``"
781,"IN"
782,"EX"
783,"POS"
784,"DT"
785,"NN"
786,"IN"
787,"DT"
788,"NNS"
789,"PRP"
790,"VBZ"
791,"IN"
792,"PRP"
793,"VBP"
794,"VBN"
795,"IN"
796,"DT"
797,"NN"
798,"WRB"
799,"DT"
800,"NN"
801,"VBZ"
802,"IN"
803,"NN"
804,"JJ"
805,"NN"
806,"CC"
807,"RB"
808,"RB"
809,"RB"
810,"RB"
811,"."
812,"''"
813,"JJ"
814,"NN"
815,","
816,"NNP"
817,"NNP"
818,"VBD"
819,"PRP$"
820,"NN"
821,"NN"
822,"VBD"
823,"CD"
824,"NN"
825,"TO"
826,"CD"
827,"CD"
828,"CD"
829,"IN"
830,"DT"
831,"JJ"
832,"NN"
833,","
834,"PRP"
835,"IN"
836,"DT"
837,"JJ"
838,"NN"
839,"IN"
840,"PRP$"
841,"NNS"
842,"CC"
843,"JJ"
844,"JJ"
845,"JJ"
846,"NN"
847,"."
848,"O"
849,"DT"
850,"NN"
851,"VBD"
852,"IN"
853,"NN"
854,"POS"
855,"NN"
856,"CC"
857,"NNS"
858,"IN"
859,"DT"
860,"NNP"
861,"CC"
862,"NNS"
863,"NN"
864,"NNS"
865,","
866,"IN"
867,"NNS"
868,"CC"
869,"NNP"
870,"NN"
871,","
872,"RB"
873,"JJ"
874,"IN"
875,"NNP"
876,"NNP"
877,"NNP"
878,"NNP"
879,"NNP"
880,":"
881,"NNP"
882,"NNP"
883,":"
884,"$"
885,"CD"
886,"CD"
887,"IN"
888,"CD"
889,"CD"
890,"NN"
891,"NNS"
892,"JJ"
893,"NNP"
894,"CD"
895,","
896,"CD"
897,","
898,"VBN"
899,"IN"
900,"NNS"
901,"TO"
902,"VB"
903,"CD"
904,"NN"
905,"."
906,"DT"
907,"NN"
908,"VBD"
909,"VBN"
910,"IN"
911,"DT"
912,"NN"
913,"IN"
914,"JJ"
915,"NN"
916,"NNS"
917,"IN"
918,"DT"
919,"NNP"
920,"POS"
921,"JJ"
922,"NN"
923,"."
924,"VBP"
925,"VBN"
926,"IN"
927,"NNP"
928,"POS"
929,"NNP"
930,"NNP"
931,"NNP"
932,"CC"
933,"NNS"
934,"IN"
935,"NNP"
936,"CC"
937,"NNP"
938,"POS"
939,"NNP"
940,","
941,"DT"
942,"NN"
943,"MD"
944,"VB"
945,"VBN"
946,"IN"
947,"JJ"
948,"NN"
949,"IN"
950,"NNP"
951,","
952,"NNP"
953,"CC"
954,"NNP"
955,"."
956,"NNP"
957,"NNP"
958,"NNS"
959,"RB"
960,"NN"
961,":"
962,"$"
963,"CD"
964,"CD"
965,"IN"
966,"NN"
967,"NNS"
968,"IN"
969,"JJ"
970,"NNS"
971,","
972,"JJ"
973,"NNS"
974,","
975,"RB"
976,","
977,"CD"
978,","
979,"NNP"
980,"CC"
981,"NNS"
982,","
983,"RB"
984,"VBN"
985,"IN"
986,"DT"
987,"NNP"
988,"NNP"
989,"NN"
990,"TO"
991,"VB"
992,"IN"
993,"CD"
994,"NN"
995,"IN"
996,"CD"
997,"TO"
998,"VB"
999,"NN"
1000,"IN"
1001,"NN"
1002,"."
1003,"JJ"
1004,"NNS"
1005,"VBP"
1006,"VBN"
1007,"TO"
1008,"VB"
1009,"TO"
1010,"CD"
1011,"NN"
1012,"IN"
1013,"NNS"
1014,"."
1015,"NNS"
1016,"VBP"
1017,"IN"
1018,"$"
1019,"CD"
1020,"CD"
1021,"IN"
1022,"CD"
1023,"NN"
1024,"NNS"
1025,"VBN"
1026,"IN"
1027,"CD"
1028,"CD"
1029,"TO"
1030,"VB"
1031,"CD"
1032,"NN"
1033,"IN"
1034,"NNS"
1035,":"
1036,"IN"
1037,"$"
1038,"CD"
1039,"CD"
1040,"IN"
1041,"CD"
1042,"NN"
1043,"NNS"
1044,"VBD"
1045,"IN"
1046,"NNS"
1047,"CD"
1048,"TO"
1049,"VB"
1050,"CD"
1051,"NN"
1052,"IN"
1053,"NN"
1054,":"
1055,"IN"
1056,"$"
1057,"CD"
1058,"CD"
1059,"IN"
1060,"CD"
1061,"NN"
1062,"NNS"
1063,"VBP"
1064,"IN"
1065,"CD"
1066,"CD"
1067,"TO"
1068,"VB"
1069,"CD"
1070,"NN"
1071,"IN"
1072,"NN"
1073,":"
1074,"CC"
1075,"RB"
1076,"$"
1077,"CD"
1078,"CD"
1079,"IN"
1080,"CD"
1081,"CD"
1082,"NN"
1083,"NNS"
1084,"VBD"
1085,"TO"
1086,"CD"
1087,"CD"
1088,"NN"
1089,"IN"
1090,"NNP"
1091,"."
1092,"DT"
1093,"NNS"
1094,"VBP"
1095,"RB"
1096,"VBN"
1097,"IN"
1098,"NNP"
1099,"POS"
1100,"CC"
1101,"NN"
1102,"IN"
1103,"NNP"
1104,","
1105,"VBG"
1106,"TO"
1107,"DT"
1108,"JJ"
1109,"NN"
1110,"."
1111,"NNP"
1112,"NNP"
1113,"NNP"
1114,"JJ"
1115,"NN"
1116,":"
1117,"NNS"
1118,"$"
1119,"CD"
1120,"CD"
1121,"IN"
1122,"NN"
1123,"NNS"
1124,"IN"
1125,"NNP"
1126,"NNP"
1127,","
1128,"NNP"
1129,"CD"
1130,","
1131,"JJ"
1132,"NN"
1133,","
1134,"CD"
1135,"CC"
1136,"NNP"
1137,","
1138,"VBN"
1139,"JJ"
1140,"NN"
1141,"IN"
1142,"DT"
1143,"NNP"
1144,"NNP"
1145,"NNP"
1146,"NNP"
1147,"VBD"
1148,"TO"
1149,"VB"
1150,"IN"
1151,"CD"
1152,"NN"
1153,"IN"
1154,"CD"
1155,"TO"
1156,"CD"
1157,"NN"
1158,"IN"
1159,"NNS"
1160,"."
1161,"JJ"
1162,"NNS"
1163,"VBD"
1164,"VBN"
1165,"TO"
1166,"VB"
1167,"IN"
1168,"CD"
1169,"NN"
1170,"IN"
1171,"CD"
1172,"TO"
1173,"VB"
1174,"NN"
1175,"IN"
1176,"NNP"
1177,"."
1178,"PRP"
1179,"VBP"
1180,"IN"
1181,"$"
1182,"CD"
1183,"CD"
1184,"IN"
1185,"CD"
1186,"NN"
1187,"NN"
1188,"NNS"
1189,"JJ"
1190,"NNS"
1191,","
1192,"VBD"
1193,"TO"
1194,"CD"
1195,"CD"
1196,"NN"
1197,","
1198,"CC"
1199,"RB"
1200,"$"
1201,"CD"
1202,"CD"
1203,"IN"
1204,"CD"
1205,"NN"
1206,"NN"
1207,"NNS"
1208,"JJ"
1209,"NNS"
1210,","
1211,"VBN"
1212,"IN"
1213,"CD"
1214,"TO"
1215,"VB"
1216,"JJ"
1217,"NN"
1218,"."
1219,"DT"
1220,"NNS"
1221,"VBP"
1222,"JJ"
1223,"CC"
1224,"JJ"
1225,"NN"
1226,"IN"
1227,"NNP"
1228,"POS"
1229,"CC"
1230,"NNP"
1231,"."
1232,"RB"
1233,":"
1234,"$"
1235,"CD"
1236,"CD"
1237,"IN"
1238,"JJ"
1239,"JJ"
1240,"NN"
1241,"NN"
1242,"NNS"
1243,","
1244,"NNP"
1245,"NNP"
1246,"NNP"
1247,","
1248,"CD"
1249,"NNP"
1250,"NNP"
1251,","
1252,"VBD"
1253,"IN"
1254,"DT"
1255,"NNP"
1256,"NNP"
1257,"NNP"
1258,"NN"
1259,"."
1260,"DT"
1261,"JJ"
1262,"NNS"
1263,"VBD"
1264,"VBN"
1265,"TO"
1266,"VB"
1267,"TO"
1268,"VB"
1269,"IN"
1270,"CD"
1271,"NN"
1272,"IN"
1273,"CD"
1274,"TO"
1275,"VB"
1276,"NN"
1277,"IN"
1278,"NNS"
1279,","
1280,"NNS"
1281,"CC"
1282,"NNS"
1283,"."
1284,"DT"
1285,"NNS"
1286,"VBP"
1287,"VBD"
1288,"DT"
1289,"NN"
1290,"IN"
1291,"NN"
1292,"IN"
1293,"NNP"
1294,"POS"
1295,","
1296,"CC"
1297,"DT"
1298,"JJ"
1299,"NN"
1300,"VBZ"
1301,"VBN"
1302,"IN"
1303,"NNP"
1304,","
1305,"DT"
1306,"NN"
1307,"VBD"
1308,"."
1309,"NNP"
1310,":"
1311,"$"
1312,"CD"
1313,"CD"
1314,"IN"
1315,"JJ"
1316,"NN"
1317,"NN"
1318,"POS"
1319,"NN"
1320,"NNS"
1321,","
1322,"NNP"
1323,"CD"
1324,","
1325,"NNP"
1326,"NNP"
1327,"CD"
1328,","
1329,"CD"
1330,","
1331,"CC"
1332,"JJ"
1333,"NNS"
1334,"CD"
1335,","
1336,"CD"
1337,","
1338,"IN"
1339,"DT"
1340,"NN"
1341,"NNP"
1342,"NNP"
1343,"NN"
1344,"."
1345,"DT"
1346,"NN"
1347,"VBZ"
1348,"VBN"
1349,"DT"
1350,"NNS"
1351,"VBN"
1352,"IN"
1353,"CD"
1354,"CD"
1355,"NN"
1356,"NNS"
1357,"TO"
1358,"VB"
1359,"CD"
1360,"NN"
1361,"."
1362,"DT"
1363,"NNS"
1364,"VBP"
1365,"VBN"
1366,"RB"
1367,"IN"
1368,"NNP"
1369,"POS"
1370,"CC"
1371,"NNS"
1372,"IN"
1373,"NNP"
1374,"."
1375,"NNP"
1376,"IN"
1377,"NNP"
1378,"CC"
1379,"NN"
1380,"IN"
1381,"NNP"
1382,"NNP"
1383,":"
1384,"$"
1385,"CD"
1386,"CD"
1387,"IN"
1388,"NNP"
1389,"NNP"
1390,"NNS"
1391,"VBD"
1392,"IN"
1393,"DT"
1394,"NNP"
1395,"NNP"
1396,"NN"
1397,"NN"
1398,"."
1399,"DT"
1400,"NNS"
1401,","
1402,"DT"
1403,"NN"
1404,"IN"
1405,"NNP"
1406,"POS"
1407,"CC"
1408,"NNP"
1409,"IN"
1410,"NNP"
1411,","
1412,"VBD"
1413,"VBN"
1414,"TO"
1415,"VB"
1416,"IN"
1417,"IN"
1418,"NN"
1419,"IN"
1420,"NNS"
1421,"TO"
1422,"CD"
1423,"NN"
1424,"IN"
1425,"NNS"
1426,"."
1427,"DT"
1428,"NNP"
1429,"NNS"
1430,"VBP"
1431,"VBN"
1432,"VBN"
1433,"IN"
1434,"NNS"
1435,"IN"
1436,"DT"
1437,"JJ"
1438,"NN"
1439,"."
1440,"NNP"
1441,"NNP"
1442,"NNP"
1443,"NNP"
1444,"NNP"
1445,":"
1446,"$"
1447,"CD"
1448,"CD"
1449,"IN"
1450,"NN"
1451,"NNS"
1452,"VBP"
1453,"VBG"
1454,"NNS"
1455,"IN"
1456,"JJ"
1457,"NN"
1458,"IN"
1459,"NNP"
1460,"NNP"
1461,"NNP"
1462,"."
1463,"DT"
1464,"NN"
1465,","
1466,"NNP"
1467,"NNP"
1468,","
1469,"VBZ"
1470,"VBD"
1471,"IN"
1472,"NNP"
1473,"NNP"
1474,"CD"
1475,"NN"
1476,"NNS"
1477,"."
1478,"DT"
1479,"NN"
1480,"NNP"
1481,"NNP"
1482,"NNP"
1483,"."
1484,"NNP"
1485,"NNP"
1486,"NNP"
1487,"NNP"
1488,":"
1489,"$"
1490,"CD"
1491,"CD"
1492,"IN"
1493,"NN"
1494,"NN"
1495,"NNS"
1496,"VBG"
1497,"NNS"
1498,"IN"
1499,"CD"
1500,"NNS"
1501,"IN"
1502,"NNP"
1503,"NNP"
1504,"NNP"
1505,"."
1506,"DT"
1507,"NN"
1508,","
1509,"NNP"
1510,"NN"
1511,","
1512,"VBZ"
1513,"VBN"
1514,"IN"
1515,"NNP"
1516,"CD"
1517,"CD"
1518,"CD"
1519,"NN"
1520,"NNS"
1521,"CC"
1522,"NNP"
1523,"NNP"
1524,"NNP"
1525,"."
1526,"DT"
1527,"NN"
1528,"NNP"
1529,"NNP"
1530,"NNP"
1531,"POS"
1532,"CD"
1533,"NN"
1534,"NNS"
1535,"TO"
1536,"$"
1537,"CD"
1538,"CD"
1539,"CC"
1540,"PRP$"
1541,"JJ"
1542,"NN"
1543,"TO"
1544,"$"
1545,"CD"
1546,"CD"
1547,"IN"
1548,"DT"
1549,"NN"
1550,"VBD"
1551,"IN"
1552,"NNP"
1553,"CD"
1554,"."
1555,"NNP"
1556,"NNP"
1557,"NN"
1558,"NNP"
1559,"."
1560,"("
1561,"NNP"
1562,")"
1563,":"
1564,"$"
1565,"CD"
1566,"CD"
1567,"IN"
1568,"NNS"
1569,"JJ"
1570,"CD"
1571,"CD"
1572,","
1573,"CD"
1574,","
1575,"IN"
1576,"NN"
1577,"NNS"
1578,","
1579,"RB"
1580,"DT"
1581,"CD"
1582,"NN"
1583,"NN"
1584,"IN"
1585,"NNP"
1586,","
1587,"NNP"
1588,"NNP"
1589,"NNP"
1590,"NNP"
1591,"."
1592,"NN"
1593,"$"
1594,"CD"
1595,"NN"
1596,"DT"
1597,"CD"
1598,"NNS"
1599,","
1600,"NNS"
1601,"IN"
1602,"CD"
1603,"NNS"
1604,","
1605,"CD"
1606,","
1607,"IN"
1608,"NNP"
1609,"CD"
1610,","
1611,"NNP"
1612,","
1613,"TO"
1614,"VB"
1615,"NN"
1616,"NNS"
1617,"IN"
1618,"DT"
1619,"NN"
1620,"NNS"
1621,"IN"
1622,"CD"
1623,"CD"
1624,"NN"
1625,"TO"
1626,"DT"
1627,"NN"
1628,"NN"
1629,"NN"
1630,"WRB"
1631,"NNS"
1632,"VBP"
1633,"VBN"
1634,"NNP"
1635,"NNS"
1636,"."
1637,"NNP"
1638,"NNP"
1639,"."
1640,"("
1641,"NNP"
1642,")"
1643,":"
1644,"$"
1645,"CD"
1646,"CD"
1647,"IN"
1648,"NNS"
1649,"JJ"
1650,"CD"
1651,"CD"
1652,","
1653,"NNP"
1654,","
1655,"IN"
1656,"NNP"
1657,"NNP"
1658,","
1659,"RB"
1660,"DT"
1661,"CD"
1662,"NN"
1663,"NN"
1664,"IN"
1665,"NNP"
1666,","
1667,"IN"
1668,"NNP"
1669,"NNP"
1670,"NNP"
1671,"."
1672,"JJ"
1673,"$"
1674,"CD"
1675,"NN"
1676,"JJ"
1677,"CD"
1678,"NN"
1679,","
1680,"NNS"
1681,"IN"
1682,"NNP"
1683,"CD"
1684,","
1685,"CD"
1686,","
1687,"TO"
1688,"NNP"
1689,"CD"
1690,","
1691,"NNP"
1692,","
1693,"TO"
1694,"VB"
1695,"NN"
1696,"NNS"
1697,"IN"
1698,"DT"
1699,"NN"
1700,"NNP"
1701,"IN"
1702,"CD"
1703,"CD"
1704,"NN"
1705,"TO"
1706,"DT"
1707,"NN"
1708,"NN"
1709,"NN"
1710,"WRB"
1711,"NNS"
1712,"VBP"
1713,"VBN"
1714,"NNP"
1715,"CD"
1716,"."
1717,"NNP"
1718,"NNP"
1719,"NNP"
1720,"."
1721,"("
1722,"NNP"
1723,")"
1724,":"
1725,"$"
1726,"CD"
1727,"CD"
1728,"IN"
1729,"NNS"
1730,"JJ"
1731,"CD"
1732,"CD"
1733,","
1734,"CD"
1735,","
1736,"IN"
1737,"JJ"
1738,"NN"
1739,","
1740,"RB"
1741,"DT"
1742,"CD"
1743,"CD"
1744,"NN"
1745,"TO"
1746,"CD"
1747,"CD"
1748,"NN"
1749,"NNS"
1750,"IN"
1751,"NNP"
1752,","
1753,"NNP"
1754,"NNP"
1755,"NNP"
1756,"NNP"
1757,"NNP"
1758,"CC"
1759,"NNP"
1760,"NNP"
1761,"NNP"
1762,"NNP"
1763,"."
1764,"JJ"
1765,"$"
1766,"CD"
1767,"NN"
1768,"CD"
1769,"CD"
1770,"NN"
1771,","
1772,"NNS"
1773,"IN"
1774,"CD"
1775,"CD"
1776,","
1777,"NNP"
1778,","
1779,"IN"
1780,"NNP"
1781,"CD"
1782,","
1783,"NNP"
1784,","
1785,"TO"
1786,"VB"
1787,"NN"
1788,"NNS"
1789,"IN"
1790,"DT"
1791,"NN"
1792,"NNS"
1793,"IN"
1794,"CD"
1795,"NN"
1796,"TO"
1797,"VB"
1798,"NN"
1799,"TO"
1800,"DT"
1801,"NN"
1802,"NN"
1803,"NN"
1804,"WRB"
1805,"NNS"
1806,"VBP"
1807,"VBN"
1808,"NNP"
1809,"CD"
1810,"."
1811,"NNP"
1812,"NNP"
1813,"NNP"
1814,"NNP"
1815,"("
1816,"NNP"
1817,"NNP"
1818,")"
1819,":"
1820,"CD"
1821,"CD"
1822,"CD"
1823,"NNS"
1824,"IN"
1825,"CD"
1826,"CD"
1827,"NN"
1828,"NNS"
1829,"JJ"
1830,"CD"
1831,"CD"
1832,","
1833,"NNP"
1834,","
1835,"VBN"
1836,"IN"
1837,"CD"
1838,"CD"
1839,"TO"
1840,"VB"
1841,"CD"
1842,"NN"
1843,"VBD"
1844,"JJ"
1845,"NNS"
1846,","
1847,"WRB"
1848,"NNP"
1849,"NNP"
1850,"NNP"
1851,"NNP"
1852,"."
1853,"VBN"
1854,"IN"
1855,"DT"
